rl;V(vo);I(RL)
3.241062374245473e+02;5.011765e+00;1.546334e-02
3.251056338028169e+02;5.011766e+00;1.541581e-02
3.261050301810865e+02;5.011767e+00;1.536857e-02
3.271044265593562e+02;5.011768e+00;1.532162e-02
3.281038229376258e+02;5.011769e+00;1.527495e-02
3.291032193158954e+02;5.011770e+00;1.522857e-02
3.301026156941650e+02;5.011771e+00;1.518246e-02
3.311020120724346e+02;5.011772e+00;1.513664e-02
3.321014084507042e+02;5.011773e+00;1.509109e-02
3.331008048289738e+02;5.011774e+00;1.504582e-02
3.341002012072435e+02;5.011775e+00;1.500081e-02
3.350995975855131e+02;5.011775e+00;1.495608e-02
3.360989939637827e+02;5.011776e+00;1.491161e-02
3.370983903420523e+02;5.011777e+00;1.486740e-02
3.380977867203219e+02;5.011778e+00;1.482346e-02
3.390971830985915e+02;5.011779e+00;1.477977e-02
3.400965794768612e+02;5.011780e+00;1.473634e-02
3.410959758551308e+02;5.011781e+00;1.469317e-02
3.420953722334004e+02;5.011782e+00;1.465025e-02
3.430947686116700e+02;5.011783e+00;1.460757e-02
3.440941649899397e+02;5.011783e+00;1.456515e-02
3.450935613682092e+02;5.011784e+00;1.452297e-02
3.460929577464789e+02;5.011785e+00;1.448104e-02
3.470923541247485e+02;5.011786e+00;1.443934e-02
3.480917505030181e+02;5.011786e+00;1.439789e-02
3.490911468812877e+02;5.011787e+00;1.435667e-02
3.500905432595574e+02;5.011788e+00;1.431569e-02
3.510899396378269e+02;5.011789e+00;1.427494e-02
3.520893360160966e+02;5.011790e+00;1.423443e-02
3.530887323943662e+02;5.011791e+00;1.419414e-02
3.540881287726358e+02;5.011792e+00;1.415408e-02
3.550875251509054e+02;5.011792e+00;1.411424e-02
3.560869215291751e+02;5.011793e+00;1.407463e-02
3.570863179074447e+02;5.011794e+00;1.403525e-02
3.580857142857143e+02;5.011795e+00;1.399608e-02
3.590851106639839e+02;5.011796e+00;1.395712e-02
3.600845070422535e+02;5.011796e+00;1.391839e-02
3.610839034205231e+02;5.011797e+00;1.387987e-02
3.620832997987928e+02;5.011798e+00;1.384156e-02
3.630826961770624e+02;5.011799e+00;1.380346e-02
3.640820925553320e+02;5.011799e+00;1.376558e-02
3.650814889336016e+02;5.011800e+00;1.372789e-02
3.660808853118712e+02;5.011801e+00;1.369042e-02
3.670802816901409e+02;5.011802e+00;1.365315e-02
3.680796780684105e+02;5.011802e+00;1.361608e-02
3.690790744466801e+02;5.011803e+00;1.357921e-02
3.700784708249497e+02;5.011804e+00;1.354254e-02
3.710778672032193e+02;5.011805e+00;1.350607e-02
3.720772635814889e+02;5.011806e+00;1.346980e-02
3.730766599597586e+02;5.011806e+00;1.343372e-02
3.740760563380282e+02;5.011807e+00;1.339783e-02
3.750754527162978e+02;5.011807e+00;1.336213e-02
3.760748490945674e+02;5.011808e+00;1.332662e-02
3.770742454728370e+02;5.011809e+00;1.329131e-02
3.780736418511066e+02;5.011810e+00;1.325617e-02
3.790730382293763e+02;5.011810e+00;1.322123e-02
3.800724346076459e+02;5.011811e+00;1.318646e-02
3.810718309859155e+02;5.011812e+00;1.315188e-02
3.820712273641851e+02;5.011813e+00;1.311748e-02
3.830706237424548e+02;5.011813e+00;1.308326e-02
3.840700201207243e+02;5.011814e+00;1.304922e-02
3.850694164989940e+02;5.011815e+00;1.301535e-02
3.860688128772636e+02;5.011816e+00;1.298166e-02
3.870682092555332e+02;5.011816e+00;1.294815e-02
3.880676056338028e+02;5.011817e+00;1.291480e-02
3.890670020120725e+02;5.011817e+00;1.288163e-02
3.900663983903420e+02;5.011818e+00;1.284863e-02
3.910657947686117e+02;5.011819e+00;1.281579e-02
3.920651911468813e+02;5.011819e+00;1.278313e-02
3.930645875251509e+02;5.011820e+00;1.275063e-02
3.940639839034205e+02;5.011821e+00;1.271829e-02
3.950633802816902e+02;5.011821e+00;1.268612e-02
3.960627766599598e+02;5.011822e+00;1.265411e-02
3.970621730382294e+02;5.011823e+00;1.262226e-02
3.980615694164990e+02;5.011824e+00;1.259057e-02
3.990609657947686e+02;5.011824e+00;1.255904e-02
4.000603621730382e+02;5.011825e+00;1.252767e-02
4.010597585513079e+02;5.011826e+00;1.249646e-02
4.020591549295775e+02;5.011826e+00;1.246540e-02
4.030585513078471e+02;5.011827e+00;1.243449e-02
4.040579476861167e+02;5.011827e+00;1.240373e-02
4.050573440643863e+02;5.011828e+00;1.237313e-02
4.060567404426560e+02;5.011829e+00;1.234268e-02
4.070561368209255e+02;5.011829e+00;1.231238e-02
4.080555331991952e+02;5.011830e+00;1.228223e-02
4.090549295774648e+02;5.011830e+00;1.225222e-02
4.100543259557344e+02;5.011831e+00;1.222236e-02
4.110537223340040e+02;5.011832e+00;1.219264e-02
4.120531187122737e+02;5.011832e+00;1.216307e-02
4.130525150905432e+02;5.011833e+00;1.213365e-02
4.140519114688129e+02;5.011834e+00;1.210436e-02
4.150513078470825e+02;5.011834e+00;1.207522e-02
4.160507042253521e+02;5.011835e+00;1.204621e-02
4.170501006036217e+02;5.011836e+00;1.201735e-02
4.180494969818914e+02;5.011836e+00;1.198862e-02
4.190488933601609e+02;5.011837e+00;1.196003e-02
4.200482897384306e+02;5.011837e+00;1.193157e-02
4.210476861167002e+02;5.011838e+00;1.190326e-02
4.220470824949698e+02;5.011838e+00;1.187507e-02
4.230464788732394e+02;5.011839e+00;1.184702e-02
4.240458752515091e+02;5.011840e+00;1.181910e-02
4.250452716297787e+02;5.011840e+00;1.179131e-02
4.260446680080483e+02;5.011841e+00;1.176365e-02
4.270440643863179e+02;5.011841e+00;1.173612e-02
4.280434607645875e+02;5.011842e+00;1.170872e-02
4.290428571428571e+02;5.011843e+00;1.168145e-02
4.300422535211268e+02;5.011843e+00;1.165430e-02
4.310416498993964e+02;5.011844e+00;1.162728e-02
4.320410462776660e+02;5.011844e+00;1.160039e-02
4.330404426559356e+02;5.011845e+00;1.157362e-02
4.340398390342052e+02;5.011846e+00;1.154697e-02
4.350392354124749e+02;5.011846e+00;1.152045e-02
4.360386317907445e+02;5.011847e+00;1.149404e-02
4.370380281690141e+02;5.011847e+00;1.146776e-02
4.380374245472837e+02;5.011848e+00;1.144160e-02
4.390368209255533e+02;5.011848e+00;1.141555e-02
4.400362173038229e+02;5.011849e+00;1.138963e-02
4.410356136820926e+02;5.011849e+00;1.136382e-02
4.420350100603622e+02;5.011850e+00;1.133813e-02
4.430344064386318e+02;5.011850e+00;1.131255e-02
4.440338028169014e+02;5.011851e+00;1.128709e-02
4.450331991951711e+02;5.011852e+00;1.126175e-02
4.460325955734406e+02;5.011852e+00;1.123652e-02
4.470319919517103e+02;5.011853e+00;1.121140e-02
4.480313883299799e+02;5.011853e+00;1.118639e-02
4.490307847082495e+02;5.011854e+00;1.116149e-02
4.500301810865191e+02;5.011854e+00;1.113671e-02
4.510295774647888e+02;5.011855e+00;1.111203e-02
4.520289738430583e+02;5.011856e+00;1.108747e-02
4.530283702213280e+02;5.011856e+00;1.106301e-02
4.540277665995976e+02;5.011857e+00;1.103866e-02
4.550271629778672e+02;5.011857e+00;1.101441e-02
4.560265593561368e+02;5.011858e+00;1.099028e-02
4.570259557344065e+02;5.011858e+00;1.096624e-02
4.580253521126760e+02;5.011858e+00;1.094232e-02
4.590247484909457e+02;5.011859e+00;1.091849e-02
4.600241448692153e+02;5.011859e+00;1.089478e-02
4.610235412474849e+02;5.011860e+00;1.087116e-02
4.620229376257545e+02;5.011860e+00;1.084764e-02
4.630223340040242e+02;5.011861e+00;1.082423e-02
4.640217303822938e+02;5.011862e+00;1.080092e-02
4.650211267605634e+02;5.011862e+00;1.077771e-02
4.660205231388330e+02;5.011863e+00;1.075460e-02
4.670199195171026e+02;5.011863e+00;1.073158e-02
4.680193158953722e+02;5.011864e+00;1.070867e-02
4.690187122736419e+02;5.011864e+00;1.068585e-02
4.700181086519115e+02;5.011865e+00;1.066313e-02
4.710175050301811e+02;5.011865e+00;1.064051e-02
4.720169014084507e+02;5.011866e+00;1.061798e-02
4.730162977867203e+02;5.011866e+00;1.059555e-02
4.740156941649900e+02;5.011867e+00;1.057321e-02
4.750150905432596e+02;5.011867e+00;1.055096e-02
4.760144869215292e+02;5.011868e+00;1.052881e-02
4.770138832997988e+02;5.011868e+00;1.050675e-02
4.780132796780684e+02;5.011868e+00;1.048479e-02
4.790126760563380e+02;5.011869e+00;1.046292e-02
4.800120724346077e+02;5.011869e+00;1.044113e-02
4.810114688128772e+02;5.011870e+00;1.041944e-02
4.820108651911469e+02;5.011870e+00;1.039784e-02
4.830102615694165e+02;5.011871e+00;1.037632e-02
4.840096579476861e+02;5.011871e+00;1.035490e-02
4.850090543259557e+02;5.011872e+00;1.033356e-02
4.860084507042254e+02;5.011872e+00;1.031232e-02
4.870078470824949e+02;5.011873e+00;1.029115e-02
4.880072434607646e+02;5.011873e+00;1.027008e-02
4.890066398390342e+02;5.011874e+00;1.024909e-02
4.900060362173038e+02;5.011874e+00;1.022819e-02
4.910054325955734e+02;5.011875e+00;1.020737e-02
4.920048289738431e+02;5.011875e+00;1.018664e-02
4.930042253521127e+02;5.011876e+00;1.016599e-02
4.940036217303823e+02;5.011876e+00;1.014542e-02
4.950030181086519e+02;5.011877e+00;1.012494e-02
4.960024144869215e+02;5.011877e+00;1.010454e-02
4.970018108651911e+02;5.011878e+00;1.008422e-02
4.980012072434608e+02;5.011878e+00;1.006399e-02
4.990006036217304e+02;5.011878e+00;1.004383e-02
5.000000000000000e+02;5.011879e+00;1.002376e-02
